booking_id,travel_date,booking_date,lead_time_days,nights_of_stay,ship_name,company,route_type,suite_type,booking_source,package,guest_country,total_cabins,booked_cabins,cycle_occupancy_percentage,passengers_on_booking,total_crew,total_reservation_income_usd,average_daily_guest_spending_usd,satisfaction_score
1,2018-01-05,2017-08-18,140,6,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,Direct,All Inclusive,USA,2626,1,87.12,2,2138,2762.28,147.39,4.4
2,2018-01-05,2017-09-14,113,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,All Inclusive + EXC,Spain,2626,1,87.12,1,2138,1863.06,144.91,4.3
3,2018-01-05,2017-11-01,65,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Web,All Inclusive,Germany,2626,1,87.12,2,2138,2760.48,147.24,4.6
4,2018-01-05,2017-10-31,66,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,Web,All Inclusive + EXC,USA,2626,2,87.12,2,2138,3883.68,158.04,4.3
5,2018-01-05,2017-09-17,110,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Direct,All Inclusive + EXC,USA,2626,1,87.12,2,2138,2723.28,144.14,4.3
6,2018-01-05,2017-11-21,45,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,Web,All Inclusive,USA,2626,1,87.12,2,2138,2753.52,146.66,4.6
7,2018-01-05,2017-11-11,55,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,Web,Full Board,UK,2626,2,87.12,2,2138,3671.4,140.35,4.6
8,2018-01-05,2017-09-13,114,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,All Inclusive,UK,2626,1,87.12,2,2138,2848.08,154.54,4.4
9,2018-01-05,2017-12-31,5,6,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,Direct,Full Board,Spain,2626,1,87.12,2,2138,2685.96,141.03,4.6
10,2018-01-05,2017-11-09,57,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Web,All Inclusive,Spain,2626,1,87.12,2,2138,2741.52,145.66,4.4
11,2018-01-05,2017-10-31,66,6,MSC World Europa,MSC Cruceros,Mediterranean,Suite,Web,Full Board,France,2626,2,87.12,4,2138,5880.24,162.21,4.5
12,2018-01-05,2017-08-29,129,6,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,B2B,All Inclusive,USA,2626,2,87.12,2,2138,3809.28,151.84,4.5
13,2018-01-05,2017-10-18,79,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,B2B,All Inclusive,USA,2626,1,87.12,2,2138,2729.28,144.64,4.7
14,2018-01-05,2017-11-19,47,6,MSC World Europa,MSC Cruceros,Mediterranean,Suite,Web,All Inclusive,Spain,2626,1,87.12,1,2138,1907.16,152.26,4.8
15,2018-01-05,2017-10-14,83,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,Full Board + EXC,USA,2626,2,87.12,2,2138,3878.64,157.62,4.3
16,2018-01-05,2017-11-12,54,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,Full Board,Germany,2805,1,80.76,2,2350,3509.66,167.89,4.7
