booking_id,travel_date,booking_date,lead_time_days,nights_of_stay,ship_name,company,route_type,suite_type,booking_source,package,guest_country,total_cabins,booked_cabins,cycle_occupancy_percentage,passengers_on_booking,total_crew,total_reservation_income_usd,average_daily_guest_spending_usd,satisfaction_score,total_guest_spending_usd,price_category
1,2018-01-05,2017-08-18,140,6,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,Direct,All Inclusive,USA,2626,1,87.12,2,2138,2762.28,147.39,4.4,1768.6799999999998,Medium
2,2018-01-05,2017-09-14,113,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,All Inclusive + EXC,Spain,2626,1,87.12,1,2138,1863.06,144.91,4.3,869.46,Low
3,2018-01-05,2017-11-01,65,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Web,All Inclusive,Germany,2626,1,87.12,2,2138,2760.48,147.24,4.6,1766.88,Medium
4,2018-01-05,2017-10-31,66,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,Web,All Inclusive + EXC,USA,2626,2,87.12,2,2138,3883.68,158.04,4.3,1896.48,Medium
5,2018-01-05,2017-09-17,110,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Direct,All Inclusive + EXC,USA,2626,1,87.12,2,2138,2723.28,144.14,4.3,1729.6799999999998,Medium
6,2018-01-05,2017-11-21,45,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,Web,All Inclusive,USA,2626,1,87.12,2,2138,2753.52,146.66,4.6,1759.92,Medium
7,2018-01-05,2017-11-11,55,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,Web,Full Board,UK,2626,2,87.12,2,2138,3671.4,140.35,4.6,1684.1999999999998,Medium
8,2018-01-05,2017-09-13,114,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,All Inclusive,UK,2626,1,87.12,2,2138,2848.08,154.54,4.4,1854.48,Medium
9,2018-01-05,2017-12-31,5,6,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,Direct,Full Board,Spain,2626,1,87.12,2,2138,2685.96,141.03,4.6,1692.3600000000001,Medium
10,2018-01-05,2017-11-09,57,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Web,All Inclusive,Spain,2626,1,87.12,2,2138,2741.52,145.66,4.4,1747.92,Medium
11,2018-01-05,2017-10-31,66,6,MSC World Europa,MSC Cruceros,Mediterranean,Suite,Web,Full Board,France,2626,2,87.12,4,2138,5880.24,162.21,4.5,3893.04,High
12,2018-01-05,2017-08-29,129,6,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,B2B,All Inclusive,USA,2626,2,87.12,2,2138,3809.28,151.84,4.5,1822.08,Medium
13,2018-01-05,2017-10-18,79,6,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,B2B,All Inclusive,USA,2626,1,87.12,2,2138,2729.28,144.64,4.7,1735.6799999999998,Medium
14,2018-01-05,2017-11-19,47,6,MSC World Europa,MSC Cruceros,Mediterranean,Suite,Web,All Inclusive,Spain,2626,1,87.12,1,2138,1907.16,152.26,4.8,913.56,Low
15,2018-01-05,2017-10-14,83,6,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,Full Board + EXC,USA,2626,2,87.12,2,2138,3878.64,157.62,4.3,1891.44,Medium
16,2018-01-05,2017-11-12,54,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,Full Board,Germany,2805,1,80.76,2,2350,3509.66,167.89,4.7,2350.46,Medium
17,2018-01-05,2017-12-06,30,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,Full Board,USA,2805,1,80.76,2,2350,3698.52,181.38,4.7,2539.3199999999997,Medium
18,2018-01-05,2017-10-25,72,7,Icon of the Seas,Royal Caribbean,Caribbean,Oceanview,Web,All Inclusive,USA,2805,1,80.76,2,2350,3660.3,178.65,5.0,2501.1,Medium
19,2018-01-05,2017-10-03,94,7,Icon of the Seas,Royal Caribbean,Caribbean,Oceanview,B2B,All Inclusive,France,2805,1,80.76,2,2350,3792.88,188.12,4.7,2633.6800000000003,Medium
20,2018-01-05,2017-10-05,92,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,Full Board,Germany,2805,1,80.76,2,2350,3668.42,179.23,4.7,2509.22,Medium
21,2018-01-05,2017-11-23,43,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,B2B,All Inclusive + EXC,UK,2805,1,80.76,2,2350,3539.34,170.01,4.6,2380.14,Medium
22,2018-01-05,2017-11-12,54,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Direct,Full Board,UK,2805,1,80.76,2,2350,3522.12,168.78,4.7,2362.92,Medium
23,2018-01-05,2017-10-12,85,7,Icon of the Seas,Royal Caribbean,Caribbean,Suite,B2B,Full Board + EXC,Germany,2805,1,80.76,2,2350,3458.28,164.22,4.8,2299.08,Medium
24,2018-01-05,2017-10-17,80,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,All Inclusive,Germany,2805,2,80.76,4,2350,7054.88,169.16,4.6,4736.48,High
25,2018-01-05,2017-10-06,91,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,All Inclusive,Germany,2805,1,80.76,2,2350,3660.72,178.68,4.7,2501.52,Medium
26,2018-01-05,2017-09-12,115,7,Icon of the Seas,Royal Caribbean,Caribbean,Suite,B2B,All Inclusive + EXC,France,2805,1,80.76,2,2350,3461.78,164.47,4.7,2302.58,Medium
27,2018-01-05,2017-09-24,103,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,Full Board + EXC,Canada,2805,1,80.76,3,2350,5115.39,188.39,4.9,3956.19,High
28,2018-01-05,2017-10-07,90,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,All Inclusive,Spain,2805,1,80.76,1,2350,2538.76,197.08,4.5,1379.5600000000002,Low
29,2018-01-05,2017-10-29,68,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3825.08,190.42,4.8,2665.8799999999997,Medium
30,2018-01-05,2017-07-21,168,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3381.7,158.75,4.8,2222.5,Medium
31,2018-01-05,2017-09-25,102,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive,Mexico,1643,1,81.33,2,1388,3851.46,131.17,4.5,2361.06,Medium
32,2018-01-05,2017-09-29,98,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,Direct,Full Board,UK,1643,1,81.33,2,1388,3709.26,123.27,4.4,2218.86,Medium
33,2018-01-05,2017-09-27,100,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,All Inclusive,USA,1643,1,81.33,2,1388,3889.26,133.27,4.4,2398.86,Medium
34,2018-01-05,2017-08-19,139,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive + EXC,Spain,1643,1,81.33,2,1388,4064.58,143.01,4.3,2574.18,High
35,2018-01-05,2017-10-06,91,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,Full Board,USA,1643,1,81.33,1,1388,2729.88,137.72,4.5,1239.48,Medium
